customer_id,customer_name,city_id
1,Olivia Bennett,1
2,William Carter,1
3,Amelia Collins,1
4,Henry Davidson,1
5,Charlotte Edwards,1
6,George Foster,1
7,Emily Graham,1
8,Thomas Harrison,1
9,Sophia Jenkins,1
10,Daniel Kelly,1
11,Grace Lewis,1
12,Matthew Morgan,1
13,Lily Nelson,1
14,Benjamin Parker,1
15,Chloe Roberts,1
16,Samuel Scott,1
17,Ella Turner,1
18,Joseph Walker,1
19,Mia Watson,1
20,Edward Bailey,1
21,Jessica Cooper,1
22,Charles Richardson,1
23,Hannah Phillips,1
24,Arthur Wood,1
25,Lucy Ward,1
26,Alexander Hughes,1
27,Sophie Price,1
28,David Butler,1
29,Ruby Simmons,1
30,Michael Brooks,1
31,Eva Foster,1
32,Christopher Reed,1
33,Isabelle Cox,1
34,Andrew Murphy,1
35,Alice Powell,1
36,Nicholas Perry,1
37,Molly Barnes,1
38,Jonathan Russell,1
39,Freya Chapman,1
40,Ryan Fisher,2
41,Poppy Dixon,2
42,Adam Matthews,2
43,Daisy Ellis,2
44,Jack Spencer,2
45,Evie Hamilton,2
46,Luke Stevens,2
47,Scarlett Murray,2
48,Nathan Marshall,2
49,Florence Knight,2
50,Peter Holmes,2
51,Holly Armstrong,2
52,Simon West,2
53,Eleanor Gibson,2
54,Aaron Hunter,2
55,Georgia Cole,2
56,Ethan Porter,2
57,Abigail Warren,2
58,Connor Webb,2
59,Jessica Dean,2
60,Isaac Pearson,2
61,Megan Mills,2
62,Leo Hudson,2
63,Rosie Palmer,2
64,Dylan Grant,2
65,Amber Stone,2
66,Robert Chapman,2
67,Natasha Carr,2
68,Kevin Shaw,2
69,Zara Miles,2
70,Dominic Harper,2
71,Paige Bennett,2
72,Oliver Hayes,2
73,Madison Clarke,2
74,Harry Turner,2
75,Faith Dawson,2
76,Louis Kennedy,2
77,Bethany Rice,2
78,Jacob Griffin,2
79,Rebecca Austin,2
80,Jacob Griffin,2
81,Rebecca Austin,2
82,Oscar Bell,3
83,Rachel Hunt,3
84,Mason Boyd,3
85,Caitlin Fox,3
86,Finley Gray,3
87,Nicole Hart,3
88,Cameron Lane,3
89,Leah Ferguson,3
90,Tyler Bishop,3
91,Naomi Cole,3
92,Patrick Mason,3
93,Melissa Drake,3
94,Brandon Cross,3
95,Jasmine Ford,3
96,Callum Owen,3
97,Victoria Mills,3
98,Sebastian Price,3
99,Lauren Hudson,3
100,Nathaniel Brooks,3
101,James Anderson,3
102,Luca Romano,3
103,Sofia Moretti,3
104,Matteo Ricci,3
105,Giulia Ferrari,3
106,Enzo Lombardi,3
107,Francesca Marino,3
108,Gabriel Costa,3
109,Elena Russo,3
110,Hugo Laurent,3
111,Camille Dupont,3
112,Louis Bernard,3
113,Clara Moreau,3
114,Antoine Girard,3
115,Elise Fontaine,3
116,Julien Chevalier,3
117,Margot Simon,3
118,Pierre Lambert,3
119,Amelie Rousseau,3
120,Marc Dubois,3
121,Celine Petit,3
122,Carlos Fernandez,3
123,Lucia Navarro,3
124,Javier Morales,3
125,Carmen Vega,3
126,Diego Herrera,3
127,Alba Castillo,3
128,Sergio Ramos,3
129,Marta Iglesias,3
130,Raul Medina,3
131,Paula Santos,3
132,Miguel Ortega,3
133,Isabel Romero,3
134,Hans Muller,4
135,Anna Schmidt,4
136,Lukas Weber,4
137,Emma Fischer,4
138,Felix Wagner,4
139,Lena Becker,4
140,Jonas Hoffmann,4
141,Marie Keller,4
142,Erik Schneider,4
143,Laura Braun,4
144,Niklas Vogel,4
145,Sophie Kruger,4
146,Jan Novak,4
147,Eva Svoboda,4
148,Tomas Dvorak,4
149,Petra Horak,4
